,hostnameLength,topLevelDomainLength,primaryDomainLength,containsIp,no_of_dots,length_of_url,token_count,avg_token_length,path_token_count,avg_path_token,domain_token_count,largest_domain,avg_domain_token
905,27,3,10,0,3,43,4,12.333333333333336,1,4.0,3,16,8.333333333333334
403,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
439,9,5,9,0,1,16,2,4.0,0,0.0,2,5,4.0
675,23,12,23,0,2,30,3,7.0,0,0.0,3,10,7.0
381,13,2,13,0,1,20,2,6.0,0,0.0,2,10,6.0
940,30,6,30,0,2,38,3,9.333333333333334,0,0.0,3,23,9.333333333333334
784,20,3,9,0,3,68,8,14.0,4,9.75,4,7,4.25
144,22,2,12,0,2,29,3,6.666666666666668,0,0.0,3,9,6.666666666666668
203,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
819,19,3,11,0,3,48,6,11.0,3,5.333333333333333,3,7,5.666666666666668
201,17,3,17,0,1,24,2,8.0,0,0.0,2,13,8.0
390,22,2,22,0,1,29,2,10.5,0,0.0,2,19,10.5
998,13,4,13,0,2,53,4,10.0,2,4.0,2,8,6.0
785,13,3,10,0,3,61,7,12.666666666666664,4,9.0,3,6,3.6666666666666665
30,12,3,12,1,1,21,0,0.0,0,0.0,0,0,0.0
272,18,6,18,1,1,40,0,0.0,0,0.0,0,0,0.0
55,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
257,16,3,16,1,2,29,0,0.0,0,0.0,0,0,0.0
407,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
494,24,3,19,0,2,31,3,7.333333333333332,0,0.0,3,15,7.333333333333332
954,22,3,15,0,2,30,3,6.666666666666668,0,0.0,3,11,6.666666666666668
428,18,6,18,0,1,25,2,8.5,0,0.0,2,11,8.5
282,21,6,21,0,1,28,2,10.0,0,0.0,2,14,10.0
389,20,4,20,0,1,27,2,9.5,0,0.0,2,15,9.5
783,20,3,9,0,3,68,8,14.0,4,9.75,4,7,4.25
634,19,6,19,0,1,26,2,9.0,0,0.0,2,12,9.0
177,11,3,11,0,1,18,2,5.0,0,0.0,2,7,5.0
65,25,3,20,0,2,32,3,7.666666666666668,0,0.0,3,16,7.666666666666668
382,15,3,15,0,1,22,2,7.0,0,0.0,2,11,7.0
466,14,6,14,0,2,21,3,4.0,0,0.0,3,7,4.0
307,11,4,11,0,1,18,2,5.0,0,0.0,2,6,5.0
590,18,2,6,0,2,25,3,5.333333333333333,0,0.0,3,11,5.333333333333333
